GENE	Glycerol_5.7	Glycerol_7	Pyruvate_5.7	Pyruvate_7	Pfam	GO
MT_RS00180	14.3053	69.5051	21.3193	73.1377	Acetyltransf_6,Aminotran_1_2,Beta_elim_lyase,Cys_Met_Meta_PP,DegT_DnrJ_EryC1	GO:0006520,GO:0009058,GO:0016829,GO:0019346,GO:0030170
MT_RS00185	0.0000	0.0000	0.0000	0.0000	PP-binding	
MT_RS00190	18.7934	134.8895	36.3740	180.6280	SnoaL_2	
MT_RS00195	25.0662	108.8545	40.5597	121.2880	AMP-binding	GO:0003824
MT_RS00200	158.3695	223.1345	219.6790	217.2340	DinB_2,MDMPI_N,Wyosine_form	GO:0046872
MT_RS00205	135.4515	133.9980	141.5780	126.9990	MFS_1	GO:0055085
MT_RS00210	349.2405	297.6655	261.5170	230.6900	DUF179	
MT_RS00215	401.0340	737.0260	621.2700	792.5875		
MT_RS00220	452.7360	704.9340	427.9525	630.2165	Lpp-LpqN	
MT_RS00225	101.5528	73.7469	102.0283	68.6342	Anticodon_1,tRNA-synt_1,tRNA-synt_1_2,tRNA-synt_1g	GO:0000166,GO:0002161,GO:0004812,GO:0005524,GO:0006418
MT_RS00230	119.9475	205.5120	218.0350	195.0080	HTH_27,MarR,MarR_2	GO:0003700,GO:0006355
MT_RS00235	58.4022	78.2115	74.8209	71.8484	GntR	GO:0003700,GO:0006355
MT_RS00240	56.5395	67.2968	63.6572	80.7618	Bac_luciferase	GO:0016705,GO:0055114
MT_RS00245	98.7296	131.0150	106.1115	126.7685	Abhydrolase_1,Abhydrolase_6	
MT_RS00250	859.9450	1021.0800	719.0605	872.1890	Inos-1-P_synth	
MT_RS00255	947.6515	866.9105	551.4080	692.4835	PadR	
MT_RS00260	90.6858	96.1597	96.2149	92.6517	DUF1707	
MT_RS00265	554.5540	547.7840	524.8270	425.4810	DUF5318	
MT_RS00270	185.9165	182.9440	171.7700	158.7880	Transgly,Transpeptidase	GO:0008658
MT_RS00275	64.2344	80.4442	67.6835	67.2425	GT87	GO:0016758
MT_RS00280	62.8858	69.4499	61.7392	60.0339	DJ-1_PfpI	
MT_RS00285	63.8972	128.9310	113.5355	106.0087	Ribosomal_S6	GO:0003735,GO:0005840,GO:0006412,GO:0019843
MT_RS00290	346.7490	475.6965	483.4170	442.7900	SSB	GO:0003697
MT_RS00295	0.0000	0.0000	0.0000	0.0000	Ribosomal_S18	GO:0003735,GO:0005840,GO:0006412
MT_RS00300	499.1410	830.8640	828.2220	649.0340	Ribosomal_L9_C,Ribosomal_L9_N	
MT_RS00305	69.7065	90.6517	91.6406	58.0827		
MT_RS00310	121.9825	201.6150	200.0955	183.6870	AAA_25,DnaB,DnaB_C,Intein_splicing,LAGLIDADG_3	GO:0003678,GO:0004519,GO:0005524,GO:0006260
MT_RS00315	73.2672	87.8579	83.6420	79.2535	DarT	
MT_RS00320	219.3355	229.4415	218.5605	198.2255	Macro	
MT_RS00330	0.0000	0.0000	0.0000	0.0000		
MT_RS00335	136.1240	280.1875	299.2300	287.4740	Glyco_hydro_6	GO:0004553,GO:0030245
MT_RS00340	124.9030	119.8650	111.5775	111.3140	BBE,FAD_binding_4	GO:0016491,GO:0050660,GO:0055114
MT_RS00345	244.1350	89.5513	100.5812	72.7352	UPF0182	GO:0016021
MT_RS00350	0.0000	0.0000	0.0000	0.0000		
MT_RS00355	173.3665	131.7680	165.1765	160.5610	PIN	
MT_RS00360	111.8850	118.3760	137.8550	119.8035	IDH	GO:0004450,GO:0006099,GO:0055114
MT_RS00365	45.2862	24.9663	31.7734	26.5889	TetR_N	GO:0003677
MT_RS00370	27.8999	41.3522	28.4758	46.8674	KR,adh_short,adh_short_C2	
MT_RS00375	33.5728	53.8019	32.2572	44.6892	SDH_alpha,SDH_beta	GO:0003941,GO:0006094,GO:0051539
MT_RS00380	27.6011	40.1573	29.0429	39.9121	Aminotran_1_2,DegT_DnrJ_EryC1,SHMT	GO:0009058,GO:0030170
MT_RS00385	16.5476	8.6070	9.1474	7.9293	RVT_1	
MT_RS00390	52.0484	97.8103	82.8680	91.6624		
MT_RS00395	50.9784	98.6941	80.6097	82.2895	ABC_tran,cNMP_binding	GO:0005524,GO:0016887
MT_RS00400	37.4507	60.5504	49.6373	58.4494	Amidohydro_1,Amidohydro_3	GO:0016787
MT_RS00405	50.5209	56.8004	52.2353	53.0192	Aminotran_1_2	GO:0009058,GO:0030170
MT_RS00410	208.2585	204.5440	213.0145	192.7445		
MT_RS00415	188.7945	84.8190	120.6810	154.8295	Abhydrolase_1,Abhydrolase_6	
MT_RS00420	39.6814	52.8811	47.8132	48.4977	TetR_N	GO:0003677
MT_RS00425	151.1085	95.5224	145.4470	96.2740	AbiEii	
MT_RS00430	0.0000	0.0000	0.0000	0.0000		
MT_RS00435	43.9543	20.4226	103.6052	87.6407	Ribosom_S30AE_C	
MT_RS00440	35.0115	41.7210	76.6188	79.0874	Pyridox_ox_2	
MT_RS00445	373.6435	731.1635	671.4860	623.0500	HTH_20,HTH_5	GO:0003700,GO:0006355
MT_RS00450	98.5873	158.0440	139.6695	144.4480	Oxidored_q6	GO:0051536,GO:0055114
MT_RS00455	26.5444	43.4802	40.3761	38.3496	Proton_antipo_M	
MT_RS00460	88.1086	114.6975	101.9027	93.8624	NADHdh	GO:0016020,GO:0055114
MT_RS00465	53.2719	84.5939	66.9846	74.6696		
MT_RS00470	63.2592	91.2741	82.1635	80.0809	Proton_antipo_M	
MT_RS00475	28.0438	25.4264	29.6575	22.4284	Complex1_30kDa,Complex1_49kDa,NiFeSe_Hases	GO:0008137,GO:0016151,GO:0016651,GO:0048038,GO:0051287,GO:0055114
MT_RS00480	443.0420	231.5825	478.8960	221.1415	Polyketide_cyc2	
MT_RS00485	54.0561	30.3067	67.9941	30.5577	MTS,Methyltransf_11,Methyltransf_12,Methyltransf_2,Methyltransf_23,Methyltransf_25,Methyltransf_31,Methyltransf_9,NodS,PrmA,RrnaAD,Ubie_methyltran	GO:0008168,GO:0008171,GO:0008757,GO:0009312,GO:0009877
MT_RS00490	16.8155	12.8907	20.3184	13.8868	DUF2127	
MT_RS00495	44.4814	43.5712	73.1894	43.7820	PNP_UDP_1	GO:0003824,GO:0009116
MT_RS00500	85.9237	62.7112	82.7675	63.4272	E1-E2_ATPase,HMA,Hydrolase	GO:0030001,GO:0046872
MT_RS00505	98.9303	53.9462	56.0406	55.0001	zf-HC2	
MT_RS00510	29.3446	20.0493	28.4614	18.5289	DUF222	
MT_RS00520	6.5146	3.9373	5.4194	4.3731	PPE	
MT_RS00525	21.4367	21.9897	21.6179	19.1538	TauD	GO:0016491,GO:0055114
MT_RS00530	17.2026	15.1914	17.7373	12.3479	FcoT	
MT_RS00535	40.5206	22.8546	31.5219	24.2446	AMP-binding,AMP-binding_C	GO:0003824
MT_RS00540	0.0000	0.0000	0.0000	0.0000	PP-binding	
MT_RS00545	51.8141	48.0662	52.0833	36.3376	AMP-binding,AMP-binding_C,Condensation,Epimerase,NAD_binding_4,PP-binding	GO:0003824,GO:0050662
MT_RS00550	113.5655	60.5015	99.4478	61.7520	Caa3_CtaG,CopD	GO:0016021
MT_RS00555	110.7085	116.2750	125.7150	105.6750	E1-E2_ATPase,HMA,Hydrolase	GO:0030001,GO:0046872
MT_RS00560	61.5472	82.3319	48.1050	71.0361	cNMP_binding	
MT_RS00565	3.1513	5.7354	1.6039	1.7549	Ribosomal_L28	GO:0003735
MT_RS00570	20.5605	23.8355	39.8046	17.9244	CobW_C,cobW	
MT_RS00575	56.0474	133.9070	80.5167	127.6485	Cation_ATPase,Cation_ATPase_C,E1-E2_ATPase,Hydrolase	
MT_RS00580	0.0000	0.0000	0.0000	0.0000		
MT_RS00585	19.5834	23.4153	19.0459	21.7361	PE	
MT_RS00590	16.7187	22.0983	21.2242	16.7903	Rhomboid	GO:0004252,GO:0016021
MT_RS00595	112.7140	174.3630	127.8195	145.8130	Acyl_transf_3	GO:0016747
MT_RS00600	50.3309	21.8570	74.4733	20.9618	Epimerase,GDP_Man_Dehyd,Polysacc_synt_2,RmlD_sub_bind	GO:0003824,GO:0050662
MT_RS00605	117.1475	83.5326	175.7055	73.8303	SIS,SIS_2	GO:0097367,GO:1901135
MT_RS00610	70.2885	29.1375	86.7921	30.1448		
MT_RS00615	71.4829	32.4365	87.8325	30.9715	GHMP_kinases_C,GHMP_kinases_N	GO:0005524
MT_RS00620	0.0000	0.0000	0.0000	0.0000		
MT_RS00625	672.7110	172.6230	319.0195	205.8315	Big_10,YkuD	GO:0016740
MT_RS00630	24.2782	17.9153	26.2812	20.7131	HTH_1,LysR_substrate	GO:0003700,GO:0006355
MT_RS00635	41.4043	36.9907	46.6178	48.5863	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N	GO:0000287,GO:0003824,GO:0030976
MT_RS00640	36.1501	43.4270	52.3594	50.5975	AMP-binding,AMP-binding_C	GO:0003824
MT_RS00645	157.2830	92.2609	116.4220	120.6480	EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2,MMR_HSR1	GO:0003924,GO:0005525
MT_RS00650	477.3485	129.3675	265.6780	130.2015	Putative_PNPOx	
MT_RS00655	180.5560	62.6270	107.9490	98.2107		
MT_RS00660	180.4375	118.2211	138.2770	136.4965		
MT_RS00665	9.6907	9.6328	10.0749	8.3015	PE	
MT_RS00670	332.4740	299.9100	390.4930	340.4640	PDZ,PDZ_2,PDZ_6,Trypsin,Trypsin_2	GO:0004252,GO:0005515,GO:0006508
MT_RS00675	89.8730	70.1040	99.7907	66.4040	Alpha-amylase,DUF3459,Malt_amylase_C	GO:0003824,GO:0005975
MT_RS00680	102.1010	90.8214	110.3465	88.8317	Mak_N_cap	
MT_RS00685	90.7126	99.7018	145.7555	97.2528	DUF1275	
MT_RS00690	1161.2050	869.5470	1236.3950	913.3065	Esterase	
MT_RS00695	128.3260	167.7010	183.8500	149.2905	MaoC_dehydrat_N,MaoC_dehydratas	
MT_RS00700	78.4493	55.9728	87.8350	65.5764	Acyl-CoA_dh_1,Acyl-CoA_dh_2,Acyl-CoA_dh_M,Acyl-CoA_dh_N	GO:0016627,GO:0050660,GO:0055114
MT_RS00705	92.6057	36.6120	50.7722	40.0627	Bac_luciferase	GO:0016705,GO:0055114
MT_RS00710	188.0405	186.0135	180.5335	163.9610	Acetyltransf_1	GO:0008080
MT_RS00715	219.6010	225.4125	146.2885	177.8290	Abhydrolase_1,Abhydrolase_6,Hydrolase_4	
MT_RS00720	136.6450	180.8380	140.8300	145.4545	TetR_N	GO:0003677
MT_RS00725	35.4786	31.9543	33.3440	36.0044	p450	GO:0005506,GO:0016705,GO:0020037,GO:0055114
MT_RS00730	250.7655	151.5850	201.8835	176.5595	PMSR	GO:0008113,GO:0055114
MT_RS00735	56.2180	112.6308	86.9985	97.8641	SnoaL_2	
MT_RS00740	69.9706	155.5350	110.4750	137.1135	3Beta_HSD,Epimerase,GDP_Man_Dehyd,NAD_binding_10,NAD_binding_4,NmrA	GO:0003824,GO:0003854,GO:0006694,GO:0016616,GO:0050662,GO:0055114
MT_RS00745	577.7595	187.3590	321.6595	224.2065	NTP_transf_9	
MT_RS00750	392.5185	419.9305	424.5940	410.4480	SnoaL_2	
MT_RS00755	82.6368	140.5600	85.5932	187.7110		
MT_RS00760	83.8112	141.7995	116.1970	131.6370	Voltage_CLC	GO:0005247,GO:0006821,GO:0016020,GO:0055085
MT_RS00765	403.3375	328.6005	444.4045	355.6060	TetR_N	GO:0003677
MT_RS00770	647.0275	510.1350	873.7195	507.7660	LCM	GO:0008168,GO:0032259
MT_RS00775	67.0928	59.7306	142.8405	69.4637	LCM	GO:0008168,GO:0032259
MT_RS00780	239.6390	241.3160	224.0220	287.5940	Aldedh	GO:0016491,GO:0055114
MT_RS00785	278.3605	303.5785	291.3830	335.1470	KR,adh_short,adh_short_C2	
MT_RS00790	145.3800	136.0805	127.3100	137.3420	ADH_N,ADH_zinc_N,ADH_zinc_N_2	GO:0055114
MT_RS00795	7.6311	7.6280	13.2727	8.5361		
MT_RS00800	21.9201	33.2950	26.6147	27.2904	PE,PE-PPE	
MT_RS00805	15.4201	15.2832	17.4479	14.2266	PE-PPE	
MT_RS00815	105.1535	87.3443	115.4490	91.7418	Y_phosphatase3	
MT_RS00820	129.9925	118.6835	143.3505	127.1535	Acyl-CoA_dh_1,Acyl-CoA_dh_2,Acyl-CoA_dh_M,Acyl-CoA_dh_N	GO:0016627,GO:0050660,GO:0055114
MT_RS00830	54.3661	174.8230	114.2950	159.3005	AlaDh_PNT_C,AlaDh_PNT_N	
MT_RS00835	180.0720	481.0185	329.4180	455.3540	PNTB_4TM	
MT_RS00840	125.9360	292.4790	208.0535	264.7415	PNTB	
MT_RS00845	0.0000	0.0000	0.0000	0.0000		
MT_RS00850	76.2144	108.5315	87.4983	98.3600	TetR_C_24,TetR_C_5,TetR_N	GO:0003677,GO:0003700,GO:0045892
MT_RS00855	29.5062	50.0516	38.1371	43.6596	PE,PE-PPE	
MT_RS00860	9.3091	7.0628	10.2204	7.2171	PE,PE-PPE	
MT_RS00865	27.3387	27.6343	35.9864	27.0712	FAD-oxidase_C,FAD_binding_4	GO:0003824,GO:0016491,GO:0050660,GO:0055114
MT_RS00870	38.4049	58.7917	53.6417	57.2327	ADH_N,ADH_zinc_N,ADH_zinc_N_2	GO:0055114
MT_RS00875	55.2576	117.4790	105.4815	102.2830	4HBT,4HBT_2	
MT_RS00880	491.2455	1153.2600	1095.3550	1063.0250	Polyketide_cyc,Polyketide_cyc2	
MT_RS00885	244.6410	459.1050	266.3505	351.9960	FCD,GntR	GO:0003700,GO:0006355
MT_RS00890	135.6050	545.2050	200.8805	467.1315	AMP-binding,AMP-binding_C	GO:0003824
MT_RS00895	428.8320	1102.0550	470.0740	978.8980	MlaE	GO:0043190
MT_RS00900	352.0855	825.5495	418.9945	769.0680	MlaE	GO:0043190
MT_RS00905	293.3490	674.7090	364.7175	583.5545	Mce4_CUP1,MlaD	
MT_RS00910	215.2960	491.2495	263.5305	443.3610	MlaD	
MT_RS00915	417.4835	977.3700	468.5760	821.2260	MlaD	
MT_RS00920	271.4095	704.6450	338.2000	586.4220	Mce4_CUP1,MlaD	
MT_RS00925	291.3345	781.2660	358.1510	686.2080	MlaD	
MT_RS00930	470.3755	1220.3000	566.4540	1037.8300	MlaD	
MT_RS00935	619.7715	1128.5100	684.9790	1024.7445		
MT_RS00940	137.1090	272.0210	162.1845	204.8730	RDD	
MT_RS00945	263.1955	389.8890	291.0875	269.2060		
MT_RS00950	401.6180	714.1140	524.1030	623.5140		
MT_RS00955	374.4515	359.9940	349.1640	290.6750	NAGPA	
MT_RS00960	172.7455	162.4515	233.4590	161.0905	ABC2_membrane_3,DUF3533	
MT_RS00965	107.3680	65.7972	68.8339	55.4505	Pirin,Pirin_C_2	
MT_RS00970	259.0785	127.1445	133.0810	107.8255	Sigma70_r2,Sigma70_r4,Sigma70_r4_2,SnoaL_2,SnoaL_4	GO:0003677,GO:0003700,GO:0006352,GO:0006355,GO:0016987
MT_RS00975	176.7220	290.1190	276.0925	275.4705	Abhydrolase_1,Abhydrolase_6,Hydrolase_4	
MT_RS00980	163.6860	245.7815	227.6395	251.4000	DUF2786	
MT_RS00985	101.3619	147.4820	132.6395	141.1935		
MT_RS00990	425.6125	259.2005	305.5245	283.3030	Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C	GO:0004553,GO:0005975
MT_RS00995	0.0000	0.0000	0.0000	0.0000		
MT_RS01000	138.3650	109.0520	156.8785	124.9760	Methyltransf_24,Methyltransf_25,Methyltransf_3,Methyltransf_31,PCMT	GO:0008171
MT_RS01005	2820.1450	795.1275	684.8505	1032.7400	SPW	
MT_RS01010	151.9105	146.7525	159.5100	152.8115	ILVD_EDD	GO:0003824
MT_RS01015	2805.5100	1449.3150	2024.9500	1621.1700	Trns_repr_metal	GO:0003677,GO:0006355,GO:0046872
MT_RS01020	94.6806	82.8774	74.4880	83.4387	MFS_1	GO:0055085
MT_RS01025	206.9345	254.9520	290.0540	255.9405	Big_10,YkuD	GO:0016740
MT_RS01030	14.6817	11.4516	13.2332	11.6488		
MT_RS01035	11.2784	10.7696	11.6845	11.1648	ABC_membrane,ABC_tran	GO:0005524,GO:0016021,GO:0016887,GO:0042626,GO:0055085
MT_RS01040	5.4926	3.7786	5.3023	5.6377	GerE	GO:0006355
MT_RS01045	40.7792	22.8511	24.4708	18.4288	TetR_N	GO:0003677
MT_RS01050	34.6080	22.8484	31.1638	20.1693	Molybdop_Fe4S4,Molybdopterin,Molydop_binding	GO:0016491,GO:0043546,GO:0055114
MT_RS01055	170.8955	176.5655	219.1935	177.3585	Peptidase_M13,Peptidase_M13_N	GO:0004222,GO:0006508
MT_RS01060	94.3631	108.6094	130.0755	106.6105		
MT_RS01065	131.7805	172.3225	164.0645	153.9635		
MT_RS01070	208.0445	266.8210	200.2930	250.1775		
MT_RS01075	190.1050	192.0605	167.2550	196.2250	MMPL	GO:0016020
MT_RS01080	158.9810	330.2230	287.8605	333.6770	MHB	GO:0020037
MT_RS01085	147.5920	175.1255	124.2785	156.5960	LPG_synthase_TM	
MT_RS01090	44.2963	91.8662	55.6757	67.7045	AI-2E_transport	
MT_RS01095	402.2900	504.1240	432.3660	440.7080	MMPL	GO:0016020
MT_RS01100	378.7610	472.7350	345.9945	358.9895	NYN	
MT_RS01105	312.8125	359.7655	265.2320	304.4215	Methyltransf_4	GO:0006400,GO:0008176
MT_RS01110	63.4244	70.5190	59.5481	58.3447		
MT_RS01115	20.5994	25.3809	24.9785	23.4297		
MT_RS01120	399.9570	285.3800	913.1835	508.9080	PEPCK_GTP,PEPCK_N	GO:0004611,GO:0006094
MT_RS01125	52.3253	46.4039	85.8975	52.2231	AAA_28	
MT_RS01130	92.0044	54.9997	79.8837	54.3858	B12-binding,Radical_SAM	GO:0003824,GO:0031419,GO:0046872,GO:0051536
MT_RS01135	32.8364	36.5337	36.7020	35.9502	AMP-binding,AMP-binding_C	GO:0003824
MT_RS01140	44.8175	37.1307	39.8916	36.5088	Acyl-CoA_dh_1,Acyl-CoA_dh_2,Acyl-CoA_dh_M,Acyl-CoA_dh_N	GO:0016627,GO:0050660,GO:0055114
MT_RS01145	42.2813	45.4263	51.2024	43.4283		
MT_RS01150	54.0581	49.7073	56.2118	52.8888	AXE1,Abhydrolase_3,COesterase	GO:0016787
MT_RS01155	40.0283	22.7267	34.4464	24.6069	Oxidored_molyb	GO:0042128
MT_RS01160	12.0409	12.0449	12.6022	13.5733		
MT_RS01165	450.5890	620.5465	521.9725	630.7660	Abhydrolase_3,COesterase,Peptidase_S9	GO:0006508,GO:0008236,GO:0016787
MT_RS01170	53.9754	61.1407	58.2090	55.4416	DUF1298,WES_acyltransf	GO:0004144,GO:0045017
MT_RS01175	115.0675	134.3350	126.1305	125.6055	ECH_1,ECH_2	GO:0003824,GO:0003860
MT_RS01180	50.3315	35.6863	51.1082	36.0276	Aldedh	GO:0016491,GO:0055114
MT_RS01185	35.4571	54.0122	45.8616	53.2416	Methyltransf_11,Methyltransf_23,Methyltransf_25	GO:0008168
MT_RS01190	105.5440	203.0820	143.3160	170.3715	Glyco_trans_1_2,Glyco_trans_1_4,Glyco_trans_4_4,Glyco_transf_4,Glycos_transf_1	
MT_RS01195	32.5219	69.5667	45.7809	65.2278		
MT_RS01200	185.7820	407.0285	332.6790	389.3655	PorA	
MT_RS01205	47.8544	68.5709	53.6688	65.2429	Acyl_transf_3	GO:0016747
MT_RS01210	88.7886	183.8235	119.3730	144.3635	PIN	
MT_RS01215	0.0000	0.0000	0.0000	0.0000		
MT_RS01220	117.3700	99.3818	107.5975	102.6295	PTE	GO:0008270,GO:0009056
MT_RS01225	70.3959	148.5485	127.9635	165.0010	Acyl-CoA_dh_1	GO:0016627,GO:0055114
MT_RS01230	243.9840	280.1545	156.6670	270.5690	TetR_N	GO:0003677
MT_RS01235	206.3080	277.4025	159.3005	262.8110	Ribonuc_red_sm	GO:0009263
MT_RS01240	154.9240	105.4690	121.5165	102.3240	Aldedh	GO:0016491,GO:0055114
MT_RS01245	61.9597	46.0807	79.4592	46.8821	LMF1	
MT_RS01250	66.3224	124.6520	85.7616	104.9700	DUF3367	GO:0016740
MT_RS01255	0.0000	0.0000	0.0000	0.0000	DUF2613	
MT_RS01260	66.3289	117.2310	126.9780	109.8480	Glyco_hydro_3	GO:0004553,GO:0005975
MT_RS01265	130.0905	138.1040	128.8785	104.3396	TetR_C_24,TetR_N	GO:0003677
MT_RS01270	0.0000	0.0000	0.0000	0.0000		
MT_RS01275	49.1788	46.4756	51.7792	39.2071	PIN	
MT_RS01280	179.9140	368.4010	196.9175	308.8465	MaoC_dehydratas	
MT_RS01285	163.2455	287.5530	142.6035	217.2745	KR,adh_short,adh_short_C2	
MT_RS01290	641.4505	807.4250	552.3980	658.6630	Thiolase_C,Thiolase_N	GO:0016747
MT_RS01295	128.8575	155.9005	139.9020	280.9300	Acyl-CoA_dh_1,Acyl-CoA_dh_C,Acyl-CoA_dh_M,AcylCoA_DH_N	GO:0016627,GO:0055114
MT_RS01300	442.2575	234.2090	221.7270	182.9145	Flavin_Reduct	GO:0010181
MT_RS01305	45.7574	51.1924	51.2273	44.0502		
MT_RS01310	136.8665	226.0160	256.8455	208.8245	Fer2,Fer2_3,Fer4_8	GO:0009055,GO:0051536
MT_RS01315	170.5785	257.6175	299.3495	244.3905	FAD_binding_2,Succ_DH_flav_C	GO:0016491,GO:0055114
MT_RS01320	169.9815	246.8725	290.4140	244.0000		
MT_RS01325	1161.4800	1242.9350	799.8290	1261.5150		
MT_RS01330	683.4135	166.7830	407.6285	948.7415	ArsA_HSP20,HSP20	
MT_RS01335	27.5380	9.3593	38.7684	11.3672	Fer2_BFD,NIR_SIR,NIR_SIR_ferr,Pyr_redox,Pyr_redox_2,Rubredoxin_C	GO:0016491,GO:0020037,GO:0051536,GO:0055114
MT_RS01340	35.8464	15.7201	49.6219	21.1374	Rieske_2	GO:0008942,GO:0055114
MT_RS01345	37.0863	44.6504	49.2576	38.8149	CobU	GO:0000166,GO:0009236,GO:0043752,GO:0051188
MT_RS01350	48.1020	61.8424	52.2120	57.0211	AAA_26,CbiA,GATase_3	GO:0003824,GO:0009236
MT_RS01355	103.5720	93.3290	98.0545	88.6232	PPE	
MT_RS01365	111.3295	83.0140	87.8583	97.3072	TetR_C_16	
MT_RS01370	23.6456	9.3402	21.5053	10.0169	CbiX	GO:0009236,GO:0016852
MT_RS01375	8.1970	2.8522	10.1078	2.7124	HEM4,Trans_reg_C	GO:0000160,GO:0003677,GO:0004852,GO:0006355,GO:0033014
MT_RS01380	7.2982	4.2835	7.1150	4.4968	MFS_1	GO:0055085
MT_RS01385	351.3800	192.7225	173.6130	207.2080	Acetyltransf_1,Acetyltransf_9	GO:0008080
MT_RS01390	183.2475	202.8525	104.8475	300.3250	CT_A_B	
MT_RS01395	171.0355	222.4975	106.2510	367.8590	CT_C_D	
MT_RS01400	71.1319	95.6783	74.9001	81.1334	Peripla_BP_2	
MT_RS01405	44.1790	32.5118	47.1364	29.9804	Hydant_A_N,Hydantoinase_A,Hydantoinase_B	GO:0003824,GO:0016787
MT_RS01410	36.2528	59.8969	36.9986	52.6390	MFS_1	GO:0055085
MT_RS01415	254.8135	464.8985	269.3230	346.9265	PhdYeFM_antitox	
MT_RS01420	68.4875	80.3757	68.0867	74.7215		
MT_RS01425	286.8480	392.5815	226.0115	412.4920	AMP-binding,AMP-binding_C	GO:0003824
MT_RS01430	142.7555	244.3925	144.4930	256.2955	Acyl-CoA_dh_1,Acyl-CoA_dh_2,Acyl-CoA_dh_M,Acyl-CoA_dh_N	GO:0016627,GO:0050660,GO:0055114
MT_RS01435	133.3080	127.3340	104.1750	132.2255		
MT_RS01440	82.8917	75.8357	74.0089	73.1593	TetR_N	GO:0003677
MT_RS01445	256.0815	159.1980	122.5605	125.8900	Glyoxalase	
MT_RS01450	762.4235	220.6440	172.3670	205.5570	TetR_N	GO:0003677
MT_RS01455	551.9985	682.0260	468.2345	725.2275	DUF2236	
MT_RS01460	83.4397	91.5992	80.9477	84.2986	PIN	
MT_RS01465	0.0000	0.0000	0.0000	0.0000		
MT_RS01470	19.6521	21.3230	15.4225	17.9877	PE	
MT_RS01475	53.1593	49.7963	45.8345	45.0374	PE	
MT_RS01480	29.0652	54.8586	60.0403	37.4984	PPE	
MT_RS01485	194.5500	237.6105	205.9900	207.8570	LCM	GO:0008168,GO:0032259
