GENE	Glycerol_5.7_r1	Glycerol_5.7_r2	Glycerol_7_r1	Glycerol_7_r2	Pyruvate_5.7_r1	Pyruvate_5.7_r2	Pyruvate_7_r1	Pyruvate_7_r2	Pfam	GO
MT_RS00195	22.5383	27.5941	115.372	102.337	37.6294	43.4901	117.3	125.276	AMP-binding	GO:0003824
MT_RS00200	166.407	150.332	209.99	236.279	230.197	209.161	202.867	231.601	DinB_2,MDMPI_N,Wyosine_form	GO:0046872
MT_RS00205	138.503	132.4	131.541	136.455	140.752	142.404	133.917	120.081	MFS_1	GO:0055085
MT_RS00210	355.066	343.415	305.213	290.118	258.073	264.961	250.114	211.266	DUF179	
MT_RS00215	396.161	405.907	742.528	731.524	541.406	701.134	797.911	787.264		
MT_RS00220	448.523	456.949	719.777	690.091	415.646	440.259	591.004	669.429	Lpp-LpqN	
MT_RS00225	95.7115	107.394	76.8147	70.6791	99.1437	104.913	70.5106	66.7578	Anticodon_1,tRNA-synt_1,tRNA-synt_1_2,tRNA-synt_1g	GO:0000166,GO:0002161,GO:0004812,GO:0005524,GO:0006418
MT_RS00230	119.207	120.688	232.59	178.434	207.413	228.657	198.174	191.842	HTH_27,MarR,MarR_2	GO:0003700,GO:0006355
MT_RS00235	58.4502	58.3542	78.0761	78.347	75.5503	74.0916	71.9288	71.7681	GntR	GO:0003700,GO:0006355
MT_RS00240	56.3597	56.7192	62.9905	71.6031	65.4647	61.8497	77.8111	83.7126	Bac_luciferase	GO:0016705,GO:0055114
MT_RS00245	101.956	95.5033	124.923	137.107	104.41	107.813	125.764	127.773	Abhydrolase_1,Abhydrolase_6	
MT_RS00250	859.093	860.797	956.56	1085.6	745.487	692.634	844.822	899.556	Inos-1-P_synth	
MT_RS00255	956.537	938.766	869.759	864.062	539.358	563.458	699.902	685.065	PadR	
MT_RS00260	91.5832	89.7884	92.8552	99.4642	96.0556	96.3742	95.2691	90.0343	DUF1707	
MT_RS00265	563.698	545.41	615.134	480.434	490.204	559.45	457.522	393.44	DUF5318	
MT_RS00270	176.441	195.392	187.547	178.341	168.954	174.586	169.382	148.194	Transgly,Transpeptidase	GO:0008658
MT_RS00275	61.3783	67.0906	86.6259	74.2624	62.6672	72.6999	73.9571	60.5279	GT87	GO:0016758
MT_RS00280	62.0185	63.753	75.9824	62.9174	55.5749	67.9034	62.6578	57.4099	DJ-1_PfpI	
MT_RS00285	43.8588	83.9357	129.0	128.862	105.375	121.696	115.415	96.6023	Ribosomal_S6	GO:0003735,GO:0005840,GO:0006412,GO:0019843
MT_RS00290	330.741	362.757	482.734	468.659	489.213	477.621	415.81	469.77	SSB	GO:0003697
MT_RS00295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ribosomal_S18	GO:0003735,GO:0005840,GO:0006412
MT_RS00300	534.688	463.594	731.245	930.483	896.85	759.594	592.043	706.025	Ribosomal_L9_C,Ribosomal_L9_N	
MT_RS00305	55.6538	83.7591	114.593	66.7104	81.5753	101.706	63.7621	52.4033		
MT_RS00310	118.654	125.311	206.776	196.454	197.792	202.399	182.625	184.749	AAA_25,DnaB,DnaB_C,Intein_splicing,LAGLIDADG_3	GO:0003678,GO:0004519,GO:0005524,GO:0006260
MT_RS00315	64.9868	81.5475	102.495	73.2208	74.1712	93.1128	91.0391	67.4678	DarT	
MT_RS00320	198.972	239.699	248.621	210.262	209.555	227.566	213.232	183.219	Macro	
MT_RS00330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS00335	141.194	131.054	258.188	302.187	303.235	295.225	249.595	325.353	Glyco_hydro_6	GO:0004553,GO:0030245
MT_RS00340	125.245	124.561	121.463	118.267	103.374	119.781	108.205	114.423	BBE,FAD_binding_4	GO:0016491,GO:0050660,GO:0055114
MT_RS00345	229.763	258.507	94.5525	84.5502	98.0915	103.071	72.5986	72.8717	UPF0182	GO:0016021
MT_RS00350	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS00355	179.57	167.163	124.955	138.581	166.739	163.614	145.744	175.378	PIN	
MT_RS00360	108.531	115.239	118.852	117.9	140.565	135.145	114.06	125.547	IDH	GO:0004450,GO:0006099,GO:0055114
MT_RS00365	44.907	45.6654	24.7785	25.1542	31.037	32.5098	26.3256	26.8522	TetR_N	GO:0003677
MT_RS00370	29.0913	26.7085	39.3289	43.3756	29.1653	27.7863	40.7339	53.0008	KR,adh_short,adh_short_C2	
MT_RS00375	31.6475	35.4981	56.4987	51.1051	29.4758	35.0387	45.9427	43.4357	SDH_alpha,SDH_beta	GO:0003941,GO:0006094,GO:0051539
MT_RS00380	27.0156	28.1866	44.3454	35.9692	28.4117	29.6741	42.0031	37.8211	Aminotran_1_2,DegT_DnrJ_EryC1,SHMT	GO:0009058,GO:0030170
MT_RS00385	18.0163	15.0789	8.92474	8.28921	8.89115	9.40356	8.17821	7.68044	RVT_1	
MT_RS00390	48.2133	55.8835	102.143	93.4776	81.9928	83.7431	97.3715	85.9532		
MT_RS00395	52.7808	49.1761	103.342	94.0461	79.2568	81.9626	95.3746	69.2045	ABC_tran,cNMP_binding	GO:0005524,GO:0016887
MT_RS00400	36.2637	38.6378	62.4577	58.6432	46.4276	52.847	64.454	52.4449	Amidohydro_1,Amidohydro_3	GO:0016787
MT_RS00405	47.2184	53.8233	63.0116	50.5893	48.7447	55.7259	57.6494	48.389	Aminotran_1_2	GO:0009058,GO:0030170
MT_RS00410	207.883	208.634	207.536	201.552	208.072	217.957	195.451	190.038		
MT_RS00415	197.273	180.316	77.7488	91.8892	127.732	113.63	140.528	169.131	Abhydrolase_1,Abhydrolase_6	
MT_RS00420	39.0523	40.3105	46.6318	59.1303	46.7669	48.8595	46.7999	50.1955	TetR_N	GO:0003677
MT_RS00425	142.754	159.463	97.8477	93.1971	142.029	148.865	100.262	92.286	AbiEii	
MT_RS00430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS00435	43.0826	44.8259	19.1699	21.6754	111.753	95.4575	48.5014	126.78	Ribosom_S30AE_C	
MT_RS00440	33.5121	36.511	49.5463	33.8957	82.6433	70.5943	53.5688	104.606	Pyridox_ox_2	
MT_RS00445	358.067	389.22	792.428	669.899	611.076	731.896	660.131	585.969	HTH_20,HTH_5	GO:0003700,GO:0006355
MT_RS00450	96.5276	100.647	166.689	149.399	125.576	153.763	150.546	138.35	Oxidored_q6	GO:0051536,GO:0055114
MT_RS00455	25.9683	27.1206	45.4258	41.5347	38.3261	42.4261	39.9032	36.796	Proton_antipo_M	
MT_RS00460	77.8955	98.3216	125.305	104.09	93.0025	110.803	99.6187	88.1061	NADHdh	GO:0016020,GO:0055114
MT_RS00465	51.6399	54.9038	84.5521	84.6357	63.8404	70.1288	82.0732	67.266		
MT_RS00470	59.5244	66.994	100.969	81.5792	75.6296	88.6974	92.2152	67.9466	Proton_antipo_M	
MT_RS00475	27.6215	28.4662	28.2557	22.5971	27.1527	32.1623	25.4854	19.3714	Complex1_30kDa,Complex1_49kDa,NiFeSe_Hases	GO:0008137,GO:0016151,GO:0016651,GO:0048038,GO:0051287,GO:0055114
MT_RS00480	452.49	433.594	219.765	243.4	497.337	460.455	206.738	235.545	Polyketide_cyc2	
MT_RS00485	61.4719	46.6403	29.7179	30.8955	70.2853	65.7029	26.871	34.2445	MTS,Methyltransf_11,Methyltransf_12,Methyltransf_2,Methyltransf_23,Methyltransf_25,Methyltransf_31,Methyltransf_9,NodS,PrmA,RrnaAD,Ubie_methyltran	GO:0008168,GO:0008171,GO:0008757,GO:0009312,GO:0009877
MT_RS00490	17.9974	15.6336	13.7327	12.0486	21.3011	19.3357	14.1702	13.6035	DUF2127	
MT_RS00495	45.8593	43.1036	42.6547	44.4876	67.4818	78.897	39.191	48.3731	PNP_UDP_1	GO:0003824,GO:0009116
MT_RS00500	86.2008	85.6467	62.9118	62.5107	81.5182	84.0168	64.2294	62.625	E1-E2_ATPase,HMA,Hydrolase	GO:0030001,GO:0046872
MT_RS00505	98.9139	98.9467	54.6864	53.2059	53.3469	58.7344	58.0108	51.9894	zf-HC2	
MT_RS00510	28.8022	29.887	20.8224	19.2762	27.4469	29.476	23.7844	13.2733	DUF222	
MT_RS00520	6.55932	6.46991	4.39439	3.48019	5.54782	5.29102	4.12484	4.62128	PPE	
MT_RS00525	20.258	22.6154	22.2134	21.766	21.2391	21.9967	18.7415	19.5661	TauD	GO:0016491,GO:0055114
MT_RS00530	14.0496	20.3556	17.8786	12.5043	16.5453	18.9293	14.8826	9.81315	FcoT	
MT_RS00535	38.9509	42.0902	22.6115	23.0977	29.6363	33.4075	23.7239	24.7652	AMP-binding,AMP-binding_C	GO:0003824
MT_RS00540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PP-binding	
MT_RS00545	47.5399	56.0884	58.9596	37.1729	45.4323	58.7344	43.0836	29.5915	AMP-binding,AMP-binding_C,Condensation,Epimerase,NAD_binding_4,PP-binding	GO:0003824,GO:0050662
MT_RS00550	107.208	119.923	64.5437	56.4593	95.1706	103.725	65.3726	58.1314	Caa3_CtaG,CopD	GO:0016021
MT_RS00555	110.903	110.514	117.681	114.869	124.441	126.989	109.425	101.925	E1-E2_ATPase,HMA,Hydrolase	GO:0030001,GO:0046872
MT_RS00560	59.5034	63.5909	87.3579	77.3059	42.5956	53.6145	77.3708	64.7013	cNMP_binding	
MT_RS00565	0.0	6.30262	11.4708	0.0	3.20775	0.0	0.0	3.50987	Ribosomal_L28	GO:0003735
MT_RS00570	20.6636	20.4575	23.4717	24.1992	46.3528	33.2564	17.5443	18.3044	CobW_C,cobW	
MT_RS00575	55.4573	56.6376	137.869	129.945	78.507	82.5264	132.022	123.275	Cation_ATPase,Cation_ATPase_C,E1-E2_ATPase,Hydrolase	
MT_RS00580	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS00585	20.0148	19.1519	24.1765	22.654	17.6242	20.4676	23.6495	19.8227	PE	
MT_RS00590	16.5645	16.8729	21.8166	22.38	22.8134	19.6349	20.103	13.4776	Rhomboid	GO:0004252,GO:0016021
MT_RS00595	109.19	116.238	182.02	166.706	120.432	135.207	148.827	142.799	Acyl_transf_3	GO:0016747
MT_RS00600	47.9775	52.6843	22.5363	21.1776	73.4858	75.4608	20.7811	21.1426	Epimerase,GDP_Man_Dehyd,Polysacc_synt_2,RmlD_sub_bind	GO:0003824,GO:0050662
MT_RS00605	114.903	119.392	96.789	70.2762	175.037	176.374	79.8483	67.8124	SIS,SIS_2	GO:0097367,GO:1901135
MT_RS00610	69.0417	71.5353	29.2725	29.0024	88.6649	84.9193	30.9194	29.3703		
MT_RS00615	65.2088	77.7571	32.8911	31.982	89.4974	86.1676	29.7145	32.2284	GHMP_kinases_C,GHMP_kinases_N	GO:0005524
MT_RS00620	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS00625	695.01	650.412	167.65	177.596	339.078	298.961	201.101	210.562	Big_10,YkuD	GO:0016740
MT_RS00630	20.2376	28.3188	17.7576	18.073	24.5869	27.9754	20.5536	20.8727	HTH_1,LysR_substrate	GO:0003700,GO:0006355
MT_RS00635	39.181	43.6277	36.5014	37.48	46.2168	47.0187	47.4591	49.7136	TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N	GO:0000287,GO:0003824,GO:0030976
MT_RS00640	35.1967	37.1034	43.1607	43.6934	52.7105	52.0083	48.7984	52.3967	AMP-binding,AMP-binding_C	GO:0003824
MT_RS00645	152.216	162.35	86.2663	98.2554	119.355	113.489	109.795	131.501	EFG_C,EFG_II,EFG_IV,GTP_EFTU,GTP_EFTU_D2,MMR_HSR1	GO:0003924,GO:0005525
MT_RS00650	487.288	467.409	128.58	130.155	245.657	285.699	137.337	123.066	Putative_PNPOx	
MT_RS00655	151.436	209.676	77.9205	47.3335	101.687	114.211	104.72	91.7014		
MT_RS00660	215.968	144.907	93.9042	142.538	147.502	129.052	123.825	149.168		
MT_RS00665	10.1232	9.25813	9.46504	9.80048	9.83739	10.3125	7.88274	8.72025	PE	
MT_RS00670	336.096	328.852	288.583	311.237	405.913	375.073	328.185	352.743	PDZ,PDZ_2,PDZ_6,Trypsin,Trypsin_2	GO:0004252,GO:0005515,GO:0006508
MT_RS00675	85.2327	94.5133	75.7805	64.4275	97.3484	102.233	69.4659	63.3421	Alpha-amylase,DUF3459,Malt_amylase_C	GO:0003824,GO:0005975
MT_RS00680	100.373	103.829	93.0018	88.641	108.397	112.296	93.2936	84.3699	Mak_N_cap	
MT_RS00685	87.3011	94.1241	98.7896	100.614	150.71	140.801	89.4047	105.101	DUF1275	
MT_RS00690	1201.6	1120.81	794.479	944.615	1342.6	1130.19	826.293	1000.32	Esterase	
MT_RS00695	141.599	115.053	158.607	176.795	188.13	179.57	126.541	172.04	MaoC_dehydrat_N,MaoC_dehydratas	
MT_RS00700	79.4447	77.4538	55.1103	56.8352	88.1628	87.5072	60.7795	70.3733	Acyl-CoA_dh_1,Acyl-CoA_dh_2,Acyl-CoA_dh_M,Acyl-CoA_dh_N	GO:0016627,GO:0050660,GO:0055114
MT_RS00705	93.4436	91.7678	41.2786	31.9453	46.8555	54.689	40.7595	39.3659	Bac_luciferase	GO:0016705,GO:0055114
MT_RS00710	197.813	178.268	188.502	183.525	177.255	183.812	174.128	153.794	Acetyltransf_1	GO:0008080
MT_RS00715	215.351	223.851	236.015	214.81	136.989	155.588	201.373	154.285	Abhydrolase_1,Abhydrolase_6,Hydrolase_4	
MT_RS00720	129.324	143.966	202.932	158.744	129.342	152.318	150.083	140.826	TetR_N	GO:0003677
MT_RS00725	35.2563	35.7009	31.7841	32.1244	31.274	35.414	34.8299	37.1788	p450	GO:0005506,GO:0016705,GO:0020037,GO:0055114
MT_RS00730	243.878	257.653	166.382	136.788	174.793	228.974	181.725	171.394	PMSR	GO:0008113,GO:0055114
MT_RS00735	53.1933	59.2426	127.157	98.1045	76.143	97.854	108.029	87.6993	SnoaL_2	
MT_RS00740	63.0758	76.8654	167.913	143.157	102.071	118.879	158.758	115.469	3Beta_HSD,Epimerase,GDP_Man_Dehyd,NAD_binding_10,NAD_binding_4,NmrA	GO:0003824,GO:0003854,GO:0006694,GO:0016616,GO:0050662,GO:0055114
MT_RS00745	619.349	536.17	185.954	188.764	314.392	328.927	238.044	210.369	NTP_transf_9	
MT_RS00750	376.003	409.034	445.084	394.777	403.436	445.752	412.714	408.182	SnoaL_2	
MT_RS00755	88.1633	77.1102	120.218	160.902	90.8257	80.3606	166.302	209.12		
MT_RS00760	78.5758	89.0466	143.452	140.147	109.871	122.523	134.313	128.961	Voltage_CLC	GO:0005247,GO:0006821,GO:0016020,GO:0055085
MT_RS00765	390.274	416.401	340.052	317.149	427.455	461.354	353.816	357.396	TetR_N	GO:0003677
MT_RS00770	693.801	600.254	476.214	544.056	882.046	865.393	553.297	462.235	LCM	GO:0008168,GO:0032259
MT_RS00775	59.8664	74.3193	60.533	58.9283	148.216	137.465	68.845	70.0824	LCM	GO:0008168,GO:0032259
MT_RS00780	241.134	238.144	227.32	255.312	233.382	214.662	265.11	310.078	Aldedh	GO:0016491,GO:0055114
MT_RS00785	273.468	283.253	279.459	327.698	316.588	266.178	312.159	358.135	KR,adh_short,adh_short_C2	
MT_RS00790	140.815	149.945	134.049	138.112	128.924	125.696	147.225	127.459	ADH_N,ADH_zinc_N,ADH_zinc_N_2	GO:0055114
MT_RS00795	9.318	5.94417	3.60614	11.6499	9.07596	17.4695	3.8313	13.241		
MT_RS00800	20.0685	23.7717	39.421	27.1689	25.1302	28.0992	29.7665	24.8144	PE,PE-PPE	
MT_RS00805	15.2147	15.6255	18.3756	12.1908	15.9971	18.8987	16.0367	12.4166	PE-PPE	
MT_RS00815	100.788	109.519	88.1796	86.509	110.304	120.594	96.6655	86.8182	Y_phosphatase3	
MT_RS00820	127.554	132.431	125.083	112.284	138.145	148.556	127.25	127.057	Acyl-CoA_dh_1,Acyl-CoA_dh_2,Acyl-CoA_dh_M,Acyl-CoA_dh_N	GO:0016627,GO:0050660,GO:0055114
MT_RS00830	57.4567	51.2756	162.657	186.989	115.894	112.696	155.575	163.026	AlaDh_PNT_C,AlaDh_PNT_N	
MT_RS00835	170.423	189.721	483.669	478.368	349.35	309.486	446.543	464.165	PNTB_4TM	
MT_RS00840	124.762	127.11	291.769	293.189	207.213	208.894	284.403	245.08	PNTB	
MT_RS00845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS00850	78.0071	74.4217	114.962	102.101	83.3301	91.6665	109.253	87.467	TetR_C_24,TetR_C_5,TetR_N	GO:0003677,GO:0003700,GO:0045892
MT_RS00855	25.9908	33.0216	55.1332	44.9699	35.6609	40.6134	43.2387	44.0805	PE,PE-PPE	
MT_RS00860	8.9623	9.65581	7.90043	6.2251	9.53778	10.903	7.2882	7.14606	PE,PE-PPE	
MT_RS00865	28.5198	26.1576	25.089	30.1796	35.8114	36.1615	26.5142	27.6283	FAD-oxidase_C,FAD_binding_4	GO:0003824,GO:0016491,GO:0050660,GO:0055114
MT_RS00870	41.0355	35.7744	62.9228	54.6605	49.0733	58.2101	57.5586	56.9069	ADH_N,ADH_zinc_N,ADH_zinc_N_2	GO:0055114
MT_RS00875	53.723	56.7922	132.767	102.191	100.17	110.793	114.865	89.701	4HBT,4HBT_2	
MT_RS00880	464.575	517.916	1165.79	1140.73	1121.12	1069.59	1097.11	1028.94	Polyketide_cyc,Polyketide_cyc2	
MT_RS00885	239.582	249.7	496.47	421.74	260.478	272.223	375.76	328.232	FCD,GntR	GO:0003700,GO:0006355
MT_RS00890	131.828	139.382	555.314	535.096	198.383	203.378	480.636	453.627	AMP-binding,AMP-binding_C	GO:0003824
MT_RS00895	440.681	416.983	1020.29	1183.82	498.147	442.001	998.413	959.383	MlaE	GO:0043190
MT_RS00900	355.06	349.111	831.557	819.542	407.671	430.318	793.23	744.906	MlaE	GO:0043190
MT_RS00905	292.36	294.338	725.242	624.176	354.769	374.666	599.633	567.476	Mce4_CUP1,MlaD	
MT_RS00910	197.303	233.289	500.255	482.244	264.199	262.862	455.839	430.883	MlaD	
MT_RS00915	397.222	437.745	1008.58	946.16	457.206	479.946	809.473	832.979	MlaD	
MT_RS00920	255.792	287.027	742.0	667.29	326.724	349.676	595.861	576.983	Mce4_CUP1,MlaD	
MT_RS00925	288.136	294.533	806.666	755.866	353.567	362.735	684.538	687.878	MlaD	
MT_RS00930	433.833	506.918	1307.52	1133.08	550.013	582.895	1056.28	1019.38	MlaD	
MT_RS00935	585.596	653.947	1151.73	1105.29	661.808	708.15	1102.76	946.729		
MT_RS00940	126.338	147.88	288.56	255.482	153.156	171.213	248.235	161.511	RDD	
MT_RS00945	236.044	290.347	413.311	366.467	292.033	290.142	317.194	221.218		
MT_RS00950	394.228	409.008	721.723	706.505	512.881	535.325	653.836	593.192		
MT_RS00955	365.714	383.189	387.486	332.502	339.114	359.214	306.729	274.621	NAGPA	
MT_RS00960	162.609	182.882	168.358	156.545	223.839	243.079	159.52	162.661	ABC2_membrane_3,DUF3533	
MT_RS00965	100.319	114.417	70.6963	60.8982	62.5399	75.1279	58.1794	52.7216	Pirin,Pirin_C_2	
MT_RS00970	249.128	269.029	139.036	115.253	125.293	140.869	114.79	100.861	Sigma70_r2,Sigma70_r4,Sigma70_r4_2,SnoaL_2,SnoaL_4	GO:0003677,GO:0003700,GO:0006352,GO:0006355,GO:0016987
MT_RS00975	178.401	175.043	301.081	279.157	260.976	291.209	287.461	263.48	Abhydrolase_1,Abhydrolase_6,Hydrolase_4	
MT_RS00980	171.255	156.117	236.364	255.199	233.685	221.594	252.99	249.81	DUF2786	
MT_RS00985	97.0797	105.644	153.598	141.366	134.235	131.044	144.638	137.749		
MT_RS00990	427.795	423.43	246.227	272.174	308.059	302.99	265.449	301.157	Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C	GO:0004553,GO:0005975
MT_RS00995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
MT_RS01000	138.203	138.527	105.946	112.158	154.012	159.745	127.533	122.419	Methyltransf_24,Methyltransf_25,Methyltransf_3,Methyltransf_31,PCMT	GO:0008171
MT_RS01005	2924.0	2716.29	700.529	889.726	703.885	665.816	1068.72	996.76	SPW	
MT_RS01010	147.939	155.882	143.648	149.857	158.976	160.044	152.583	153.04	ILVD_EDD	GO:0003824
MT_RS01015	2885.91	2725.11	1442.77	1455.86	2010.67	2039.23	1889.91	1352.43	Trns_repr_metal	GO:0003677,GO:0006355,GO:0046872
MT_RS01020	95.7045	93.6567	81.4449	84.3098	73.8032	75.1728	88.2114	78.6661	MFS_1	GO:0055085
MT_RS01025	216.722	197.147	261.533	248.371	282.774	297.334	269.832	242.049	Big_10,YkuD	GO:0016740
MT_RS01030	14.0796	15.2838	12.7643	10.1388	13.1077	13.3587	12.4098	10.8879		
MT_RS01035	11.4223	11.1345	11.9347	9.60457	11.572	11.7969	11.6998	10.6298	ABC_membrane,ABC_tran	GO:0005524,GO:0016021,GO:0016887,GO:0042626,GO:0055085
MT_RS01040	4.82687	6.15835	4.42794	3.12917	5.1078	5.49672	6.32156	4.95377	GerE	GO:0006355
MT_RS01045	43.3944	38.1639	23.3159	22.3864	21.6123	27.3294	20.0945	16.763	TetR_N	GO:0003677
MT_RS01050	33.3088	35.9073	25.0873	20.6096	29.6019	32.7256	19.5071	20.8315	Molybdop_Fe4S4,Molybdopterin,Molydop_binding	GO:0016491,GO:0043546,GO:0055114
MT_RS01055	167.039	174.752	173.609	179.522	219.984	218.403	180.41	174.307	Peptidase_M13,Peptidase_M13_N	GO:0004222,GO:0006508
MT_RS01060	93.1235	95.6026	97.1388	120.08	130.367	129.784	108.282	104.939		
MT_RS01065	134.207	129.354	163.271	181.374	168.091	160.038	159.147	148.78		
MT_RS01070	208.365	207.724	255.679	277.963	194.079	206.507	241.433	258.922		
MT_RS01075	180.809	199.401	205.524	178.597	152.816	181.694	204.628	187.822	MMPL	GO:0016020
MT_RS01080	175.898	142.064	306.021	354.425	304.236	271.485	320.705	346.649	MHB	GO:0020037
MT_RS01085	146.916	148.268	178.574	171.677	120.263	128.294	154.616	158.576	LPG_synthase_TM	
MT_RS01090	43.3326	45.2599	95.8703	87.8621	53.9919	57.3594	76.4384	58.9707	AI-2E_transport	
MT_RS01095	380.366	424.214	531.282	476.966	415.476	449.256	464.821	416.595	MMPL	GO:0016020
MT_RS01100	384.457	373.065	469.354	476.116	348.723	343.266	388.973	329.006	NYN	
MT_RS01105	308.809	316.816	391.499	328.032	251.867	278.597	314.847	293.996	Methyltransf_4	GO:0006400,GO:0008176
MT_RS01110	63.4617	63.3871	79.1614	61.8765	54.2823	64.814	65.3444	51.345		
MT_RS01115	19.9631	21.2357	28.6114	22.1503	24.5336	25.4235	26.0733	20.7861		
MT_RS01120	396.194	403.72	270.752	300.008	942.144	884.223	463.143	554.673	PEPCK_GTP,PEPCK_N	GO:0004611,GO:0006094
MT_RS01125	50.3994	54.2512	47.2554	45.5524	81.9043	89.8907	51.9727	52.4735	AAA_28	
